ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
892,2,63,1,3,2,0,2,2,0,16,12,13,97,12,12,1,4,2,2,0,1,2,2,1,1,1,1,2,2,2,2,2
893,2,70,1,2,2,3,2,2,0,12,12,12,97,0,9,5,-1,2,2,0,0,4,3,1,1,1,1,2,0,0,0,0
894,1,21,2,5,4,0,5,3,0,15,14,97,97,0,12,2,0.25,2,2,0,1,2,3,3,1,0,1,2,0,0,0,0
895,1,29,2,5,2,0,2,2,0,12,16,10,97,10,12,2,6,1,2,0,2,0,1,1,1,1,1,0,0,0,0,0
896,1,56,2,3,4,2,1,1,0,13,98,97,97,12,12,1,4,2,2,0,1,2,2,1,2,1,0,2,3,3,2,2
897,1,27,2,5,3,0,2,2,0,16,16,16,97,12,12,6,-1,2,2,0,0,1,2,1,1,1,1,2,1,1,2,1
898,2,53,1,1,1,1,2,2,0,12,10,10,12,0,13,7,-1,2,2,1,0,2,1,2,1,0,2,2,0,0,0,0
899,1,68,1,1,98,2,3,3,0,12,8,97,12,0,98,8,-1,2,2,7,0,0,3,1,1,2,8,0,0,0,0,0
900,1,44,1,3,3,2,2,2,0,12,16,97,97,12,12,1,22,2,2,0,2,2,2,1,1,1,1,2,2,2,2,1
901,2,68,1,1,3,2,2,2,0,11,8,97,11,0,12,5,-1,2,2,5,0,3,1,1,2,1,0,1,0,0,0,0
902,1,39,1,5,2,2,3,1,1,12,12,12,97,12,12,1,12,2,2,0,2,0,2,1,2,1,0,0,0,0,0,0
903,1,57,1,3,5,0,1,1,0,12,98,16,97,12,12,1,4,2,2,0,4,2,3,2,2,0,0,2,0,0,0,0
904,1,25,2,5,3,0,1,1,0,12,16,12,97,12,12,1,20,2,2,0,1,0,2,1,2,1,0,0,0,0,0,0
905,2,42,2,5,5,3,2,2,0,13,98,12,97,3,9,8,-1,1,2,0,0,3,1,1,1,1,1,2,1,1,2,1
906,1,25,2,5,5,0,3,3,0,13,16,97,97,0,1,7,-1,0,0,0,0,2,3,1,1,1,1,2,0,0,0,0
907,2,19,2,5,3,0,4,4,0,12,16,97,97,2,5,1,0.25,2,2,0,2,0,2,3,3,0,0,0,2,2,2,1
908,2,66,2,5,16,4,1,1,0,12,12,97,97,0,13,7,-1,2,2,0,0,3,2,9,9,9,9,3,4,4,1,2
909,1,74,2,4,1,2,1,1,0,14,12,5,97,0,12,2,99,2,2,0,9,1,1,1,1,1,1,1,1,1,2,1
910,2,69,3,3,7,0,1,1,0,20,12,12,97,0,12,8,-1,1,1,0,0,2,3,1,1,9,9,1,0,0,0,0
911,2,26,2,5,3,1,2,2,0,12,12,97,97,1,12,4,-1,8,2,0,0,0,3,3,2,0,0,0,1,1,2,1
912,1,69,2,2,14,2,1,1,0,14,98,12,97,11,11,5,-1,2,2,0,0,4,2,1,2,1,0,2,1,1,2,1
913,2,27,1,1,2,0,1,1,0,15,97,12,12,12,12,1,3,1,2,1,2,0,2,2,2,0,0,0,1,1,1,2
914,1,53,1,5,4,0,1,1,0,14,15,97,97,12,12,3,2,2,2,0,2,0,2,2,2,0,0,0,0,0,0,0
915,1,35,1,3,7,3,1,1,0,10,12,12,97,12,12,1,4,2,2,0,3,0,2,2,2,0,0,0,0,0,0,0
916,2,32,1,1,2,1,3,2,1,14,12,12,16,12,12,1,7,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2
917,2,19,1,5,3,0,4,3,0,11,14,18,97,0,12,2,0.25,2,2,0,4,3,3,3,3,0,0,2,0,0,0,0
918,1,56,1,1,1,4,2,2,0,14,98,97,15,12,12,1,20,2,2,1,2,0,2,1,1,2,2,0,1,1,2,2
919,1,69,1,3,1,2,1,1,0,14,8,8,97,0,12,5,-1,2,2,0,0,2,2,1,1,1,2,1,0,0,0,0
920,2,66,1,1,2,1,2,2,0,12,12,11,12,0,12,5,-1,1,2,1,0,0,3,1,1,1,1,0,0,0,0,0
921,2,69,1,2,6,3,1,1,0,20,6,2,97,0,98,8,-1,1,2,0,0,4,1,2,2,0,0,2,0,0,0,0
922,1,43,1,5,3,2,1,1,0,12,12,8,97,12,12,1,5,2,2,0,3,4,2,2,2,0,0,2,2,1,8,8
923,2,43,1,3,8,6,1,1,0,12,12,97,97,12,12,1,1,1,2,0,1,0,1,1,1,2,2,0,0,0,0,0
924,2,44,1,1,4,2,2,2,0,16,12,97,16,13,13,1,18,2,2,1,2,2,2,1,1,9,9,1,1,1,2,2
925,1,58,1,2,2,2,2,2,0,16,12,12,97,12,12,1,20,2,2,0,2,2,2,1,1,1,1,1,2,2,2,1
926,1,38,1,1,4,2,4,2,0,12,12,12,14,13,13,1,18,1,2,1,1,0,2,1,1,2,2,0,0,0,0,0
927,2,49,1,1,8,4,4,2,0,17,12,16,15,0,12,1,4,2,1,1,2,2,3,8,1,0,2,1,1,1,2,1
928,1,51,1,1,3,2,2,2,0,12,12,12,16,12,12,1,1,2,2,1,2,0,2,1,1,2,2,0,1,1,2,1
929,2,59,1,1,3,2,2,2,0,20,12,8,12,12,12,1,0.75,2,2,1,2,2,1,1,1,2,2,3,0,0,0,0
930,1,68,1,3,5,1,1,1,0,14,8,8,97,0,8,5,-1,2,1,0,0,2,2,1,1,1,1,2,4,1,2,2
931,1,73,1,1,2,1,3,3,0,18,12,6,16,0,12,5,-1,2,2,7,0,0,2,1,1,2,2,0,0,0,0,0
932,1,67,1,1,3,2,2,2,0,18,12,12,13,0,12,5,-1,1,2,5,0,3,1,1,1,2,2,2,0,0,0,0
933,1,70,1,1,1,2,2,2,0,19,16,12,20,0,12,5,-1,2,2,5,0,2,3,1,1,2,2,1,3,3,2,1
934,2,61,1,1,4,4,2,2,0,16,12,14,16,12,12,1,2,2,2,1,1,1,1,1,1,2,2,2,0,0,0,0
935,2,50,1,1,1,2,4,4,0,14,12,14,15,12,13,1,3,2,2,1,1,0,2,1,1,2,2,0,1,1,2,1
936,1,67,1,1,2,1,2,2,0,16,12,97,16,0,12,5,-1,1,2,5,0,1,2,1,1,1,1,2,0,0,0,0
937,1,39,1,1,1,2,4,2,0,17,14,97,16,12,12,1,6,2,2,6,2,1,1,1,1,3,3,2,3,1,2,1
938,2,48,1,1,3,2,4,2,9,18,11,12,16,12,12,2,2,2,1,1,1,2,1,1,1,2,2,3,0,0,0,0
939,2,19,1,5,3,0,3,2,0,13,16,20,97,2,12,2,2,2,2,0,1,1,1,3,3,0,0,2,1,1,2,1
940,1,58,1,1,7,4,2,2,0,12,0,98,13,0,9,8,-1,2,2,4,0,0,2,1,1,1,1,0,1,1,1,2
941,2,54,2,4,6,3,1,1,0,14,10,98,97,12,12,1,1,2,2,0,1,0,2,1,1,1,1,0,0,0,0,0
942,1,20,1,5,2,0,3,3,0,11,10,98,97,0,1,6,-1,0,0,0,0,2,3,3,1,0,1,2,0,0,0,0
943,2,89,1,2,3,3,1,1,0,15,16,97,97,0,11,5,-1,2,2,0,0,0,1,1,2,1,0,0,4,1,2,1
944,2,44,1,1,6,3,4,3,0,11,6,98,14,13,13,7,-1,2,2,1,0,3,1,1,1,2,1,2,2,1,2,1
945,1,59,2,1,8,3,5,5,0,12,98,97,12,12,12,1,24,2,2,1,1,3,2,1,1,1,1,2,0,0,0,0
946,2,47,3,1,7,0,2,2,0,17,6,6,12,0,12,7,-1,2,2,1,0,0,1,2,2,0,0,0,0,0,0,0
947,2,46,1,1,3,2,3,2,0,18,12,97,18,0,12,7,-1,1,2,1,0,2,2,1,1,2,2,2,1,1,2,1
948,1,55,3,1,8,2,3,2,0,15,8,14,12,11,12,1,20,2,2,1,1,2,2,3,3,0,0,2,0,0,0,0
949,1,65,2,1,7,5,4,3,1,12,12,97,16,13,13,1,28,1,2,1,2,0,2,1,1,1,2,0,2,2,1,2
950,2,23,1,5,4,0,2,2,0,14,12,98,97,98,98,1,2,2,2,0,2,2,2,3,2,0,0,2,8,8,2,1
951,2,28,1,1,4,4,8,4,1,9,17,98,10,0,12,7,-1,2,2,1,0,0,1,1,1,2,1,0,1,1,2,1
952,2,76,1,2,6,0,1,1,0,17,8,7,97,13,13,2,10,2,1,0,1,3,2,1,1,2,2,2,1,1,2,1
953,1,45,1,4,2,0,1,1,0,14,12,12,97,12,12,1,16,2,2,0,2,2,2,1,1,1,1,2,0,0,0,0
954,2,40,1,5,3,2,3,1,9,9,6,6,97,0,10,2,0.25,2,2,0,2,3,3,3,3,0,0,2,0,0,0,0
955,2,77,1,3,2,3,1,1,0,12,3,12,97,0,9,5,-1,2,2,0,0,2,2,1,1,2,2,2,1,1,1,2
956,1,74,1,5,5,0,1,1,0,18,12,12,97,0,12,5,-1,1,2,0,0,3,1,1,1,1,1,2,0,0,0,0
957,2,79,1,1,3,3,2,2,0,6,6,98,6,0,12,5,-1,2,2,2,0,0,1,1,1,2,2,0,0,0,0,0
958,1,70,1,1,2,5,4,4,0,9,6,6,9,0,3,5,-1,2,2,5,0,4,1,1,1,1,2,2,1,2,8,1
959,1,61,1,1,3,4,2,2,0,12,12,8,12,1,9,8,-1,2,2,7,0,3,1,2,2,0,0,1,0,0,0,0
960,1,49,3,1,14,5,7,3,1,6,97,98,0,12,12,1,25,2,1,1,1,0,1,3,3,0,0,0,4,4,1,1
961,1,38,1,1,1,2,1,1,0,14,18,13,18,12,12,1,0.25,2,2,1,3,3,3,3,3,0,0,2,1,1,2,1
962,2,25,1,5,1,0,2,2,0,16,18,16,97,12,12,1,3,2,2,0,1,2,2,2,2,0,0,2,0,0,0,0
963,1,36,2,1,1,3,5,2,0,16,12,97,16,12,12,1,8,2,2,1,1,0,2,2,2,0,0,0,1,1,2,1
964,2,75,1,2,7,2,1,1,0,16,18,19,97,0,12,5,-1,2,2,0,0,2,2,1,1,2,2,1,0,0,0,0
965,1,22,1,1,4,0,2,2,0,13,14,16,14,12,12,1,1,2,2,1,2,0,2,3,1,0,2,0,0,0,0,0
966,1,45,1,1,2,1,3,3,0,14,12,16,14,0,12,1,0.25,2,2,7,2,2,2,1,1,1,2,1,1,1,2,2
967,2,26,3,5,3,2,2,2,0,14,0,3,97,7,10,2,8,2,2,0,1,2,2,2,1,0,1,2,0,0,0,0
